,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
44,Catamarca,La Paz,San Antonio,1835,False,False,False,False,False,True,True,True,True,10070150.0,-28.9331053161662,-65.0949655869377
45,Catamarca,Paclín,Amadores,172,False,False,False,False,False,False,False,False,False,10077010.0,-28.2680363798746,-65.6462108146466
46,Catamarca,Paclín,El Rosario,110,False,False,False,False,False,False,False,False,False,10077020.0,-27.9877541032226,-65.688606939529
47,Catamarca,Paclín,La Bajada,97,False,False,False,False,False,False,False,False,False,10077030.0,-28.3920524907261,-65.6282649899935
48,Catamarca,Paclín,La Higuera,236,False,False,False,False,False,False,False,False,False,10077040.0,-27.9352828616507,-65.699367489363
49,Catamarca,Paclín,La Merced,1759,True,False,False,False,True,True,True,False,False,10077050.0,-28.1537649054231,-65.6696062414473
50,Caba,COMUNA 12,VILLA URQUIZA,91563,True,True,True,True,True,True,True,True,True,2000010.0,-34.5715411303449,-58.4878560596649
51,Entre Rios,Colón,Pueblo Liebig's,670,False,False,False,True,False,True,True,True,False,30008080.0,-32.1570049045312,-58.1976616890773
52,Entre Rios,Colón,San José,16336,True,False,False,False,False,True,True,True,True,30008090.0,-32.2021613289668,-58.2095931555666
53,Entre Rios,Colón,Ubajay,3234,True,False,False,True,False,True,True,True,True,30008100.0,-31.7925728023428,-58.3158517356
54,Entre Rios,Colón,Villa Elisa,10266,True,True,False,True,False,True,True,True,True,30008110.0,-32.1606202225925,-58.4037483450693
55,Entre Rios,Concordia,Benito Legeren,0,False,False,False,False,False,False,False,True,False,30015130.0,-31.4288786267036,-58.0768061386463
56,Entre Rios,Concordia,Calabacilla,879,False,False,False,False,False,False,False,True,True,30015010.0,-31.507626297952,-58.1334346597166
57,Catamarca,Paclín,La Viña,129,False,False,False,False,False,True,False,False,False,10077060.0,-28.044445782746,-65.6079383578395
58,Catamarca,Paclín,Las Lajas,136,False,False,False,False,True,False,False,False,False,10077070.0,-27.826913357423,-65.7401079267206
59,Catamarca,Paclín,Monte Potrero,186,False,False,False,False,False,False,False,True,True,10077080.0,-28.19124607288,-65.670675013192
60,Catamarca,Paclín,Palo Labrado,223,False,False,False,False,False,False,False,False,False,10077090.0,-28.3360934480518,-65.6274299147885
61,Catamarca,Paclín,San Antonio,266,False,False,False,False,True,True,False,False,False,10077100.0,-28.0073083693979,-65.726850392729
62,Catamarca,Paclín,Villa de Balcozna,210,False,False,False,False,False,False,False,False,True,10077110.0,-27.87835755933,-65.7190758944755
63,Catamarca,Pomán,Apoyaco,76,False,False,False,False,False,False,False,False,False,10084010.0,-28.3006337911705,-66.1659791753183
64,Catamarca,Pomán,Colana,478,False,False,False,False,False,False,False,False,False,10084020.0,-28.3432877302321,-66.1222559102194
65,Catamarca,Pomán,Colpes,774,False,False,False,False,False,True,False,False,False,10084030.0,-28.0606503909839,-66.2065039006705
66,Catamarca,Pomán,El Pajonal (Est. Pomán),590,False,False,False,False,False,False,False,False,False,10084040.0,-28.3773148491306,-66.3017092655099
67,Catamarca,Pomán,Joyango,53,False,False,False,False,False,False,False,False,False,10084050.0,-28.0731019653889,-66.1435569766782
68,Catamarca,Pomán,Mutquin,1075,False,False,False,False,True,False,False,False,False,10084060.0,-28.3178455729042,-66.1420642866296
69,Catamarca,Pomán,Pomán,2856,False,False,False,False,True,False,True,True,True,10084070.0,-28.3927801149204,-66.2220823999264
70,Catamarca,Pomán,Rincón,523,False,False,False,False,False,False,True,False,False,10084080.0,-28.2022631098293,-66.148799132888
71,Catamarca,Pomán,San Miguel,413,False,False,False,False,False,True,False,False,False,10084090.0,-28.1297413013666,-66.2019565174868
72,Catamarca,Pomán,Saujil,2368,False,False,False,False,True,True,True,False,True,10084100.0,-28.173337080009,-66.2145148644181
73,Catamarca,Pomán,Siján,1169,False,False,False,False,True,False,True,False,False,10084110.0,-28.2623558875079,-66.2209299175292
74,Catamarca,Santa María,Andalhualá,241,False,False,False,False,False,False,False,False,False,10091010.0,-26.8479427341705,-66.0244068592756
75,Catamarca,Santa María,Caspichango,39,False,False,False,False,False,False,False,False,False,10091020.0,-26.6859290047178,-65.970794986953
76,Catamarca,Santa María,Chañar Punco,1736,True,False,False,True,False,False,False,False,False,10091030.0,-26.7588342868363,-66.0493067195716
77,Catamarca,Santa María,El Cajón,141,False,False,False,False,False,False,False,False,False,10091040.0,-26.3955476915097,-66.2641930164042
78,Catamarca,Santa María,El Cerrito,0,False,False,False,False,False,False,False,True,True,10091040.0,-26.6988604981977,-66.0387334407325
79,Catamarca,Santa María,El Desmonte,144,False,False,False,False,False,False,False,False,False,10091050.0,-26.9077168676094,-66.020423153794
80,Catamarca,Santa María,El Puesto,200,False,False,False,False,False,False,False,False,False,10091060.0,-26.6307679478768,-66.0140418967533
81,Entre Rios,Concordia,Clodomiro Ledesma,124,False,False,False,False,False,False,False,False,True,30015020.0,-31.5794028169306,-58.1813678170213
82,Entre Rios,Concordia,Colonia Ayuí,1724,False,False,False,False,False,False,True,True,True,30015030.0,-31.2050901632153,-58.0338899223591
83,Entre Rios,Concordia,Colonia General Roca,640,False,False,False,False,False,False,False,False,False,30015040.0,-31.3244065210985,-58.1214096714805
84,Entre Rios,Concordia,Colonia Yeruá,0,False,False,False,False,False,False,False,False,False,30015087.0,-31.4408896802806,-58.1194803676389
85,Entre Rios,Concordia,Concordia,149450,True,True,False,True,True,True,True,True,True,30015060.0,-31.3687044068789,-58.0450288431718
86,Entre Rios,Concordia,El Redomón,0,False,False,False,False,False,False,False,False,False,30015110.0,-31.0958808459898,-58.290063733468
87,Entre Rios,Concordia,Estación Yeruá,316,False,False,False,False,False,False,True,False,False,30015080.0,-31.469433434517,-58.2636681024626
88,Entre Rios,Concordia,Estación Yuquerí,190,False,False,False,False,False,False,False,False,False,30015083.0,-31.3963812386954,-58.1611535438718
89,Entre Rios,Concordia,Estancia Grande,578,False,False,False,False,False,False,False,False,False,30015087.0,-31.4400282680775,-58.1246631255854
90,Entre Rios,Concordia,La Criolla,1543,False,False,False,True,False,True,True,True,True,30015090.0,-31.2693712880357,-58.1060425422369
91,Entre Rios,Concordia,Las Tejas,0,False,False,False,False,False,False,False,True,True,30015130.0,-31.4119399624827,-58.0740082494429
92,Entre Rios,Concordia,Los Charrúas,3306,False,False,False,False,False,True,True,True,True,30015100.0,-31.1707840748941,-58.1873842951633
93,Entre Rios,Concordia,Nueva Escocia,453,False,False,False,False,False,False,False,False,False,30015110.0,-31.6473163855612,-58.0158126069679
94,Entre Rios,Concordia,Osvaldo Magnasco,1241,False,False,False,False,False,False,True,False,True,30015120.0,-31.3131,-58.06
95,Entre Rios,Concordia,Pedernal,516,False,False,False,False,False,True,False,False,True,30015130.0,-31.6714729659455,-58.2307912741944
96,Entre Rios,Concordia,Puerto Yeruá,1274,False,False,False,False,False,False,True,False,False,30015140.0,-31.530833509471,-58.0128947749058
97,Entre Rios,Concordia,Villa Adela,0,False,False,False,False,False,False,False,True,True,30015130.0,-31.4037426459166,-58.0394128271546
98,Entre Rios,Concordia,VILLA ZORRAQUIN,0,False,False,False,False,False,False,False,True,True,30015130.0,-31.3299511832527,-58.0174848453444
99,Mendoza,Malargüe,Las Leñas,9,False,False,False,True,False,False,True,True,True,50077030.0,-35.1539650781638,-70.0817910991633
100,Mendoza,Malargüe,Malargüe,21619,False,True,False,True,True,True,True,True,True,50077040.0,-35.4770107120892,-69.5886491865783
101,Mendoza,Rivadavia,Andrade,216,False,False,False,False,False,True,False,False,False,50084010.0,-33.1624680014146,-68.506066911759
