Fecha,Año,Trimestre,Provincia,Otros,veloc_muyBaja,veloc_baja,veloc_media,veloc_alta,veloc_muyAlta
2023-04-01,2023,2,Río Negro,15576,7252,37036,41053,49825,20277
2023-04-01,2023,2,Salta,6646,8309,84613,3269,68188,31835
2023-04-01,2023,2,San Juan,22755,7054,30066,23011,21893,1887
2023-04-01,2023,2,San Luis,5968,3951,31809,79810,9641,24909
2023-04-01,2023,2,Santa Cruz,33803,2460,15358,14259,13355,973
2023-04-01,2023,2,Santa Fe,16168,36442,199767,87236,401853,177121
2023-04-01,2023,2,Santiago Del Estero,917,7232,59721,30077,16972,9443
2023-04-01,2023,2,Tierra Del Fuego,7121,861,19838,28006,5024,705
2023-04-01,2023,2,Tucumán,488,5778,31333,24845,155829,46322
2023-01-01,2023,1,Buenos Aires,95566,125999,442005,1065481,1966101,1125581
2023-01-01,2023,1,Capital Federal,106867,8194,85551,95889,610969,641229
2023-01-01,2023,1,Catamarca,2311,1203,5633,6401,47271,8673
2023-01-01,2023,1,Chaco,3947,5173,25910,10760,69130,27522
2023-01-01,2023,1,Chubut,20574,12351,66097,43761,27234,36
2023-01-01,2023,1,Córdoba,33490,47399,196381,82263,470052,220387
2023-01-01,2023,1,Corrientes,8984,12455,36623,10964,59157,28837
2023-01-01,2023,1,Entre Ríos,0,17797,79714,43365,84800,49202
2023-01-01,2023,1,Formosa,702,11975,22239,6506,9378,10185
2023-01-01,2023,1,Jujuy,2076,6993,24361,29692,50482,4376
2023-01-01,2023,1,La Pampa,16958,12494,50796,14951,20925,380
2023-01-01,2023,1,La Rioja,0,1070,3812,29502,45035,6986
2023-01-01,2023,1,Mendoza,21186,10567,46061,91873,118189,5143
2023-01-01,2023,1,Misiones,8244,19214,40864,15781,73995,32587
2023-01-01,2023,1,Neuquén,2267,9429,44072,31039,42744,30857
2023-01-01,2023,1,Río Negro,29772,9449,36424,36005,33634,19047
2023-01-01,2023,1,Salta,6778,9208,92002,4941,62212,30285
2023-01-01,2023,1,San Juan,11840,14924,28392,35138,11098,375
2023-01-01,2023,1,San Luis,3353,3954,32543,89565,1083,4962
2023-01-01,2023,1,Santa Cruz,1044,11501,18268,13565,5983,0
2023-01-01,2023,1,Santa Fe,18101,44700,242329,101510,312420,167212
2023-01-01,2023,1,Santiago Del Estero,993,9364,70740,22011,7277,8170
2023-01-01,2023,1,Tierra Del Fuego,4575,857,23988,25342,1977,374
2023-01-01,2023,1,Tucumán,15126,7923,46361,27288,121602,42800
2022-10-01,2022,4,Buenos Aires,97634,126634,467063,1062288,1971744,1069247
2022-10-01,2022,4,Capital Federal,106772,9462,92123,97508,614134,631897
2022-10-01,2022,4,Catamarca,2280,1480,6650,7760,44524,8215
2022-10-01,2022,4,Chaco,3909,5585,29199,9754,66654,28201
2022-10-01,2022,4,Chubut,20026,13030,66157,51487,18032,27
2022-10-01,2022,4,Córdoba,17610,53776,208133,83938,460045,226158
2022-10-01,2022,4,Corrientes,7998,12679,38175,10809,56817,28975
2022-10-01,2022,4,Entre Ríos,0,20111,77047,43428,80907,49481
2022-10-01,2022,4,Formosa,698,12345,22833,7038,8815,10111
2022-10-01,2022,4,Jujuy,0,7407,27136,36765,42966,3943
2022-10-01,2022,4,La Pampa,16028,12967,51740,13649,19476,304
2022-10-01,2022,4,La Rioja,0,1356,4798,29466,44034,6608
2022-10-01,2022,4,Mendoza,21144,11269,47684,97014,110889,4104
2022-10-01,2022,4,Misiones,8590,19422,41134,15397,68258,33468
2022-10-01,2022,4,Neuquén,2250,9473,44463,30399,41685,31906
2022-10-01,2022,4,Río Negro,29644,10470,36706,33006,32843,19423
2022-10-01,2022,4,Salta,6747,9654,94292,5168,59509,30490
2022-10-01,2022,4,San Juan,11840,14940,28427,38699,9905,15
2022-10-01,2022,4,San Luis,3353,3955,33198,92489,654,1568
2022-10-01,2022,4,Santa Cruz,1048,11502,18484,13617,5552,0
2022-10-01,2022,4,Santa Fe,18340,52531,267498,96387,283979,168954
2022-10-01,2022,4,Santiago Del Estero,989,12487,73277,18396,6492,7853
2022-10-01,2022,4,Tierra Del Fuego,2264,1387,24820,25012,1484,293
2022-10-01,2022,4,Tucumán,15118,9340,57682,27744,114292,39246
2022-07-01,2022,3,Buenos Aires,125147,111748,391174,1067259,1472665,1876439
2022-07-01,2022,3,Capital Federal,0,10154,76948,96382,460640,860562
2022-07-01,2022,3,Catamarca,70,2006,4537,6026,52927,9367
2022-07-01,2022,3,Chaco,3816,4357,19495,11262,89077,27536
2022-07-01,2022,3,Chubut,16640,8706,68201,44274,32660,193
2022-07-01,2022,3,Córdoba,14710,41310,165014,77065,546206,237791
2022-07-01,2022,3,Corrientes,6242,9570,28354,9690,71624,32414
2022-07-01,2022,3,Entre Ríos,13975,16033,74385,23368,110018,58773
2022-07-01,2022,3,Formosa,302,11974,21326,4453,12869,11794
2022-07-01,2022,3,Jujuy,1970,5922,21651,28824,54503,5181
2022-07-01,2022,3,La Pampa,1599,10101,53751,20556,34279,1909
2022-07-01,2022,3,La Rioja,0,837,2490,29482,48408,6565
2022-07-01,2022,3,Mendoza,5566,11657,48185,83842,139853,13494
2022-07-01,2022,3,Misiones,8526,18117,38358,13469,88846,35240
2022-07-01,2022,3,Neuquén,20168,8062,41935,25077,39327,29677
2022-07-01,2022,3,Río Negro,15576,7252,37036,41053,49825,19610
2022-07-01,2022,3,Salta,6646,8309,84613,3269,68188,31835
2022-07-01,2022,3,San Juan,22755,7054,30066,23011,21893,1887
2022-07-01,2022,3,San Luis,5968,3951,31809,79810,9641,24909
2022-07-01,2022,3,Santa Cruz,33803,2460,15358,14259,13355,973
2022-07-01,2022,3,Santa Fe,16168,36442,199767,87236,401853,177121
2022-07-01,2022,3,Santiago Del Estero,917,7232,59721,30077,16972,9443
2022-07-01,2022,3,Tierra Del Fuego,7121,861,19838,28006,5024,705
2022-07-01,2022,3,Tucumán,488,5778,31333,24845,155829,46322
2022-04-01,2022,2,Buenos Aires,65849,145603,516151,1122886,2502215,314425
2022-04-01,2022,2,Capital Federal,105607,11724,103243,139999,994444,181724
2022-04-01,2022,2,Catamarca,2207,1936,8381,10558,42125,1801
2022-04-01,2022,2,Chaco,3708,6647,32212,24376,72107,4153
2022-04-01,2022,2,Chubut,20021,12223,66351,49805,14379,26
2022-04-01,2022,2,Córdoba,13426,63803,229238,100694,586973,32300
2022-04-01,2022,2,Corrientes,7107,14233,38866,29734,51415,3642
2022-04-01,2022,2,Entre Ríos,16759,21620,81337,50885,93700,5051
2022-04-01,2022,2,Formosa,590,12291,31753,6925,15212,1110
2022-04-01,2022,2,Jujuy,2453,8894,28241,38335,36539,851
2022-04-01,2022,2,La Pampa,3012,13818,60525,17050,17059,63
2022-04-01,2022,2,La Rioja,0,1653,6162,29297,48307,611
2022-04-01,2022,2,Mendoza,3940,12752,57823,129851,73251,1945
2022-04-01,2022,2,Misiones,8350,20345,42480,32550,67538,7550
2022-04-01,2022,2,Neuquén,18717,9575,45450,22896,60052,5274
2022-04-01,2022,2,Río Negro,24270,11031,41609,46111,34336,2407
